event_key,active,name,event_start,event_end,event_type,event_subtype,description,host_org,url,media_url,map,seats,goers,invite_only,venue,address,company,audience,subject,geo_area,tags,fsq_venue_id,custom1,custom2,custom4,custom5,id,venue_id,speakers,moderators,artists,sponsors,exhibitors,staff
"105","Y","The Black Photographic Image: Future Perspectives","2017-06-17 14:00:00","2017-06-17 15:30:00","Panel-Presentation","","This session is rooted in facilitating dialogue amongst Black photographers whose concerns are specific to Black futures. We will highlight critical connections between our practice and the need for diverse representations of blackness. We will share methods to build a visual archive that conserves Black collective narratives. Participants will leave with knowledge about utilizing these practices in their own communities.","","","","","0","1","N","State Hall: Room 128","","Art as Resistance","","Everyone","","","","","","","","0001e18ad90b64feece253235527f222","611309","Zakkiyyah Najeebah, Reginald Eldridge Keta Glenn Desmond Owusu Tonika Johnson","","","","",""
"224","Y","Packet Sniffing for Everyone","2017-06-17 14:00:00","2017-06-17 15:30:00","Hands-on Session","","How does data travel between a computer and the internet? What's possible for other people to intercept? We'll ask these questions about internet infrastructure and security through discussion and hands-on activities. We'll dig into the packets we produce using developer tools that are built into our browsers. We'll also use free software (either Wireshark or Debookee) to creep on each other's browsing activity in order to learn about the important difference between HTTP and HTTPS.","","","","","0","11","N","State Hall: Room 115","","Securing Our Spaces","","Beginner","","","","","","","","03a3c760f485104355d23414006e2710","611313","Jen Kagan","","","","",""
"293","Y","Farm Fun Exploration ","2017-06-17 16:00:00","2017-06-17 17:30:00","Tour/Field Trip","","Where does food come from? We will be exploring the fresh fruits and vegetables growing at Plum Street farm through movement and art. Surprising smells, brassica land dance parties, and flower field art activities are just the beginning of our journey through plants and food together. Participants will get to frolic in fresh air, learn about where food comes from through smells and tastes, and build their relationships with nature, earth, food, and each other.","","","","","0","2","N","Shuttle Stop: Anthony Wayne & Kirby","","Kids & Caregivers Transform the World!","","Kids only","","","","","","","","0420198511ce9425f909d7a954d62bad","611329","Sonali Devarajan","","","","",""
"77","Y","Creating Nuanced Stories of Communities of Color","2017-06-16 11:00:00","2017-06-16 12:30:00","Panel-Presentation","","The Sons &amp; Brothers&rsquo; portrait series features original art by young artists of color and aims to honor change makers who fight against injustice. Participants will learn about the use of visual art as a tool for accessible storytelling and will leave with tools to share the nuanced stories of communities of color and uplift the work of community members.","","","","","0","8","N","State Hall: Room 129","","General","","Beginner","","","","","","","","0508e5249b34770113613ba00eabb596","611337","Ozi Uduma, Andres Reyes","","","","",""
"268","Y","Welcome Party: Detroit Culture Council x One Mile","2017-06-15 21:00:00","2017-06-16 01:00:00","AMC @ Night","","Hear about how cross-disciplinary creative communities are collaborating to re-establish a Culture and Arts Council in the city, meet the folks moving the work forward, and do it while partying with 'the Mothership'! Featuring sounds by Jay Daniel and Spin INC., with an interactive fashion show by Detroit Clothing Circle.","","","","","0","68","N","ONE Mile","","","","Everyone","","","","","","","","05f2ff5c210298db4fd0cd0181b4a4a8","613498","","","","","",""
"84","Y","Crash Course in Photography and Storytelling","2017-06-16 14:00:00","2017-06-16 15:30:00","Hands-on Session","","Children and caregivers will learn the basics of photography and storytelling, including how to use their camera in manual mode and tell their story visually. Being marginalized in any community, you feel like your story, your vision, and your life don’t matter. Let’s teach the children how to tell a story through the camera's lens.","","","","","0","8","N","Student Center: Hilberry E","","Kids & Caregivers Transform the World!","","Beginner","","","","","","","","0609da2aae1c151363b05b2079f0cc74","611315","Sacred Amos, Akua Hill","","","","",""
"295","Y","The Building of Black Detroit Tour ","2017-06-18 13:00:00","2017-06-18 14:30:00","Tour/Field Trip","","Detroit's African-American community was built on a revolutionary fight for freedom. In this tour we will learn about Detroit's history around the issue of race, and how Black activists, organizations and businesses fought faith, freedom and financial self-determination to control their own reality and environment.<br />","","","","","0","13","N","Shuttle Stop: Anthony Wayne & Kirby","","Disrupting Mainstream History","","Everyone","","","","","","","","08cc7d3968666f3b2b728a110ee3a449","611329","Jamon Jordan","","","","",""
"54","Y","Podcasts for Re-Centering Narratives","2017-06-16 11:00:00","2017-06-16 12:30:00","Panel-Presentation","","How do you use digital tools to re-center narratives about your community towards resistance? Podcasts are the latest storytelling tool used to shift hearts and minds. It is imperative that communities of color use counter-narratives to not only build personal identity power, but also shift the narratives of mainstream media. This panel will walk through steps on how to create digital storytelling podcasts as an artistic tool of resistance.","","","","","0","21","N","State Hall: Room 115","","Sound Revolution and ARTivism","","Beginner","","","","","","","","097f1f62a866eca379d839b7740fff54","611313","Tanzila 'Taz' Ahmed","","","","",""
"241","Y","Community Care Lunch Meet-Up","2017-06-17 12:45:00","2017-06-17 13:45:00","Mealtime Meetup","","Join us for a community style care meet-up. We will offer ear (NADA) acupuncture, Reiki and bodywork. The meet-up will be first come, first served &ndash; no sign-up necessary. The space is welcoming of all bodies, identities, abilities, and backgrounds.","","","","","0","10","N","Student Center: Dance Room 020","","General","","Everyone","","","","","","","","09b1628d0b9a20a734c7f30f78964e4a","611342","Chiara Galimberti, Sylvia Barrios, Michelle VanNatta","","","","",""
"188","Y","Listening is a Revolutionary Act","2017-06-17 11:00:00","2017-06-17 12:30:00","Hands-on Session","","How do you make sure citizens are both informed and heard? We’ll share techniques developed by the Listening Post, a media engagement project that creates conversation around local news in New Orleans. Participants will learn creative offline strategies for community engagement such as public art, SMS, public events, and more, focused on 'news you can use' topics like housing, education, jobs, and health. Participants will get a 7-step plan for implementing a media engagement strategy in their home community.","","","","","0","13","N","State Hall: Room 127","","Securing Our Spaces","","Everyone","","","","","","","","09f4094eef941358a7ba342b38b5f5e2","611333","Jesse Hardman, Burgess Brown","","","","",""
"302","Y","Kreung Kitchen orientation & paste making","2017-06-15 15:30:00","2017-06-15 18:30:00","Hands-on Session","","This hands on cooking session will orient participants to the kitchen so that they feel confident and comfortable cooking on a larger scale. They will learn what is involved in Kreung paste, the &ldquo;mother paste&rdquo; of Cambodian cuisine. They will learn from Chef Chinchakriya Un and her mother and aunt about the medicinal powers of the ingredients and how it&rsquo;s integrated into almost all Cambodian dishes. They will prep ingredients, make the paste, and walk away with small containers to keep for themselves (or share with their people).","","","","","0","7","N","TBA","","Food Matters","","Everyone","","","","","","","","0bcc04378543ba9d6ac586282b97cb8e","610055","Char's mom, Char's aunt, Chinchakriya Un","","","","",""
"219","Y","Detroit Comix Party: Something from Nothing","2017-06-16 11:00:00","2017-06-16 12:30:00","Hands-on Session","","Comix is the most direct route to self-expression. We want to celebrate the incredible potential of wild, intimate, and spectacularly bizarre work that self-publishing can quickly fertilize and spread. We will inspect examples of pure and direct human expression through comix and zines, discuss the decreasing cost of production, and then create our own comix to take home and copy into infinity.","","","","","0","9","N","Student Center: Room 137","","General","","Everyone","","","","","","","","0bdd8ed5b0ffbde29c25067f16f75492","611353","Kevin Eckert, Michael Burridge","","","","",""
"120","Y","Living Letters: A Hollerin Space","2017-06-17 14:00:00","2017-06-17 15:30:00","Film Screening-Performance","","What is the medicine in bearing witness? We will imagine a post-literate classless society with the formation of a waiting room. Using the tools of letter writing, QR codes, and live performance we will enact the art of listening, hearing, and transliteration. Participants will engage in a generative sound and body resonance process guided by prompts from letters written by freedom fighters such as Audre Lorde, Maya Angelou, folks in our kinfolk communities, and ourselves.","","","","","0","5","N","Student Center: Dance Room 025","","General","","Everyone","","","","","","","","0c7abd37c7e28c839143d33bae6ac7fe","611334","Muthi Reed, Lauren Hind, Angela Davis Johnson","","","","",""
"248","Y","Trans*Visible Network Gathering","2017-06-15 10:00:00","2017-06-15 17:00:00","","","How would the vision of justice be served by having more Transgender/GNC/Non-Binary workshop facilitators? Trans*Visible aims to increase visibility of Transgender/GNC/Non-Binary trainers offering political education, gender justice, and queer liberation trainings within social justice, education, media, arts, and social services. Through this visibility, Trans*Visible centers trans and nonbinary folks in social justice movements as critical to liberation.<br /> <br /> Part networking event, skillshare, and strategy session, this space will introduce Transgender/GNC/Non-binary facilitators to technology, art, healing justice, and process-based modules that can be easily integrated into their trainings and workshops. Participants will connect with other Transgender/GNC/Non-Binary folx, co-create the Trans*Visible web-based platform, and participate in dialogue to unpack the ways Binarism impacts our movement spaces and organizing strategies. Trans*Visible prioritizes people of color for participation.<br /> <br /> Coordinators of this network gathering are Eb. Brown, Hil Tackie, and Kieran Alessi.","","","","","0","10","N","Student Center: Hilberry D","","","","","","","","","","","","0daf5067e821ec06a4b0c1f7e0564472","611328","","","","","",""
"37","Y","Words are Spells: Daily Consent for Kids","2017-06-17 11:00:00","2017-06-17 12:30:00","Hands-on Session","","Traditional education is designed to train kids to 'behave' and follow directions. This often leaves kids confused about appropriate and respectful ways to use their personal power. This session uses media making and theatre to creatively express and interpret radical consent for kids. Youth and caregivers will be led through a series of hands-on activities and practice using their words as spells to support and protect others against daily abuses such as bullying.","","","","","0","7","N","Student Center: Hilberry E","","Kids & Caregivers Transform the World!","","Everyone","","","","","","","","0e47885f9d2605eaefe7a111277acf3e","611315","Sicily McRaven","","","","",""
"139","Y","Counterpoints: Stories and Data for Resisting Displacement","2017-06-17 14:00:00","2017-06-17 15:30:00","Panel-Presentation","","Members of the Anti-Eviction Mapping Project will report on a year-long mapping project in Alameda County, as well as new work in San Francisco, offering a regional analysis of gentrification. We will share how and why we mapped eviction data and documented stories of resistance, bolstering ongoing anti-displacement work and centering anti-oppression documentary practices. Participants will walk away with new frameworks and skills to map community power in their local communities.","","","","","0","21","N","State Hall: Room 135","","Art as Resistance","","Beginner","","","","","","","","0f8179586073d4a1bd07799c7a7d8c90","611310","Terra Graziani Carla Erin McElroy","","","","",""
"46","Y","Organizing for Healing Justice","2017-06-17 14:00:00","2017-06-17 15:30:00","Hands-on Session","","H.O.L.L.A!'s Healing Justice Movement is an intersectional youth-led movement for youth of color and our communities. We will unpack the principles of H.O.L.L.A!’s Healing Justice Movement through facilitated role plays, activities and discussions. We will draw connections between vulnerability and personal transformation, and uplift organizing that focuses on how we change society and people at the same time.","","","","","0","14","N","State Hall: Room 127","","General","","Everyone","","","","","","","","0f97c2937214a18fbf218abf66978a68","611333","Cory Greene, Gina Hong, Machlie Edouard, Alexander Davis, Rakim Covington, Keron Bennett","","","","",""
"52","Y","Community Archiving for Audiovisual Recordings","2017-06-16 14:00:00","2017-06-16 15:30:00","Hands-on Session","","Most cultural community organizations have audiovisual collections, which include legacy recordings, yet have no idea how to plan to preserve them. This workshop provides an overview of the skills and resources needed to gain intellectual and physical control over an audiovisual collection. Drawing on over six years of experience, the Community Archiving Workshop has developed a toolkit which we will share. Participants will learn how to identify various audiovisual formats and risk factors, and make preservation recommendations for audiovisual collections.","","","","","0","11","N","State Hall: Room 123","","Disrupting Mainstream History","","Everyone","","","","","","","","103fdbc3a53f70ac349f276e863cf1d8","611316","Moriah Ulinskas","","","","",""
"255","Y","Collective Knowledge Network Gathering","2017-06-15 10:00:00","2017-06-15 17:00:00","","","Organized by Detroit&rsquo;s Seraphine Collective, the Collective Knowledge Network Gathering will focus on how women, femmes, people of color, transgender and gender non-conforming artists organize to create visibility in music and art scenes dominated by patriarchal and institutionally racist cultural norms. The event will include a roundtable discussion, a demonstration on music technology from Third Wave Music, a DJ-ing workshop, a panel discussion and lecture. Participants will walk away with a repertoire of new ideas, hands-on experience with musical equipment and technology, and a database for music and art collectives to promote their work to new audiences online. This is an open network gathering but participants are required to fill out an application.<br /> <br /> Coordinators of this network gathering are Tina Louise, Augusta Morrison, and Rachel Thompson.","","","","","0","7","N","McGregor: Room J","","","","","","","","","","","","1048e2eaf33c3bfea80522136aaf7c89","611330","","","","","",""
"39","Y","Mitigating Evidence","2017-06-17 11:00:00","2017-06-17 12:30:00","Strategy Session","","How can arts educators interrupt the stereotypes and fears of incarcerated and court-involved youth? Our session will explore the Mitigating Evidence pedagogy designed by Free Write Arts & Literacy, a Chicago-based organization with 17 years of experience engaging incarcerated and court-involved youth in Hip Hop arts programming. Participants will share strategies to help arts educators directly connect their work to reducing recidivism and dismantling the Prison Industrial Complex.","","","","","0","3","N","State Hall: Room 113","","Youth Activism in Hip Hop","","Everyone","","","","","","","","10c9728d5cc1cb35de4c7287622b8c3b","611321","Ryan Keesling, Mathilda De Dios, Elgin Bokari Smith, Roger Bonair Agard","","","","",""
"21","Y","Recipes of Resilience: Transforming Trauma Through Food","2017-06-16 16:00:00","2017-06-16 17:30:00","Hands-on Session","","What are the ways in which war and mass violence shape a community’s traditional foods and those who cook it? How can food tell a community’s story of trauma and resilience in colonized and post-conflict areas? We will connect with food-based projects using traditional foods and styles of cooking as a way to create spaces for education and healing from the trauma associated with mass violence, ethnic cleansing and the legacy of colonialism. Participants will leave with ideas for tapping into their own communities’ traditional food ways to transform and organize their people.","","","","","0","14","N","Statte Hall: Room 106","","Food Matters","","Everyone","","","","","","","","112ad4c2587f66b0bd53966f8181827a","611323","Kate McCabe, Chinchakriya Un","","","","",""
"157","Y","Sustainable Building Solutions for Climate","2017-06-16 11:00:00","2017-06-16 12:30:00","Hands-on Session","","Sustainable building methods could pave the way for us to live more intentionally in accordance with the planet. We will learn about these methods by examining the Earthship building techniques utilized in the Sa-K-La-K-Wel Community Center in Haiti. Join us as we explore how these methods can be tailored to your community, providing living solutions by building sustainably. Participants will walk away with understanding how these methods can be applied to their communities and the opportunity to get more hands on should their curiosity lead them.","","","","","0","5","N","State Hall: Room 118","","Healing Justice","","Beginner","","","","","","","","1206e2e8209e12325cd46b815c38a293","611324","Oja Vincent, Vanissa W. Chan","","","","",""
"138","Y","Avoiding CointelPRO 2017","2017-06-16 11:00:00","2017-06-16 12:30:00","Hands-on Session","","Modern technology would’ve made COINTELPRO easier – and the government knows it. In this session, we'll discuss how the government tried to 'expose, disrupt, [and] eliminate' the movement in the 60s as a basis for thinking about security now. We'll use this background and a brief explanation of modern tech and tactics to brainstorm community security agreements and best practices. Participants will leave with a knowledge of government tactics and ways to make their own community safer.","","","","","0","11","N","State Hall: Room 1215","","Securing Our Spaces","","Intermediate","","","","","","","","15b4c3f1563ff1f4319e20ad5e63cb52","611344","Dia Kayyali","","","","",""
